fecha,escenario,variable,valor,unidad,fuente,modulo_origen,fecha_generacion
2027-04-01,baseline_arima,deprec_fx,3.3972736908392704,porcentaje,ARIMA univariado,M3,2026-05-05
2027-04-01,baseline_arima,embi,1.7179673305245202,puntos_base,ARIMA univariado,M3,2026-05-05
2027-05-01,baseline_arima,crecimiento,5.294055119069422,porcentaje,ARIMA univariado,M3,2026-05-05
2027-05-01,baseline_arima,inflacion,3.9158021653039747,porcentaje,ARIMA univariado,M3,2026-05-05
2027-05-01,baseline_arima,interbancaria,7.461957427291131,porcentaje,ARIMA univariado,M3,2026-05-05
2027-05-01,baseline_arima,deprec_fx,3.2043634787185313,porcentaje,ARIMA univariado,M3,2026-05-05
2027-05-01,baseline_arima,embi,1.7434911880436312,puntos_base,ARIMA univariado,M3,2026-05-05
2027-06-01,baseline_arima,crecimiento,5.499460189920558,porcentaje,ARIMA univariado,M3,2026-05-05
2027-06-01,baseline_arima,inflacion,3.9904924915845768,porcentaje,ARIMA univariado,M3,2026-05-05
2027-06-01,baseline_arima,interbancaria,7.468212492142297,porcentaje,ARIMA univariado,M3,2026-05-05
2027-06-01,baseline_arima,deprec_fx,3.1657375093902407,porcentaje,ARIMA univariado,M3,2026-05-05
2027-06-01,baseline_arima,embi,1.745932340643641,puntos_base,ARIMA univariado,M3,2026-05-05
2027-07-01,baseline_arima,crecimiento,5.270034887061268,porcentaje,ARIMA univariado,M3,2026-05-05
2027-07-01,baseline_arima,inflacion,3.9968502748759853,porcentaje,ARIMA univariado,M3,2026-05-05
2027-07-01,baseline_arima,interbancaria,7.466206449613567,porcentaje,ARIMA univariado,M3,2026-05-05
2027-07-01,baseline_arima,deprec_fx,3.337319119584862,porcentaje,ARIMA univariado,M3,2026-05-05
2027-07-01,baseline_arima,embi,1.7592140324102805,puntos_base,ARIMA univariado,M3,2026-05-05
2027-08-01,baseline_arima,crecimiento,5.313413229039958,porcentaje,ARIMA univariado,M3,2026-05-05
2027-08-01,baseline_arima,inflacion,3.9912064429867398,porcentaje,ARIMA univariado,M3,2026-05-05
2027-08-01,baseline_arima,interbancaria,7.456553226745682,porcentaje,ARIMA univariado,M3,2026-05-05
2027-08-01,baseline_arima,deprec_fx,3.495389061859355,porcentaje,ARIMA univariado,M3,2026-05-05
2027-08-01,baseline_arima,embi,1.7670487118196199,puntos_base,ARIMA univariado,M3,2026-05-05
2027-09-01,baseline_arima,crecimiento,5.339833753411582,porcentaje,ARIMA univariado,M3,2026-05-05
2027-09-01,baseline_arima,inflacion,3.935201679550238,porcentaje,ARIMA univariado,M3,2026-05-05
2027-09-01,baseline_arima,interbancaria,7.441807121651687,porcentaje,ARIMA univariado,M3,2026-05-05
2027-09-01,baseline_arima,deprec_fx,3.5474383864463266,porcentaje,ARIMA univariado,M3,2026-05-05
2027-09-01,baseline_arima,embi,1.774587151236854,puntos_base,ARIMA univariado,M3,2026-05-05
2027-10-01,baseline_arima,crecimiento,5.4900533158516005,porcentaje,ARIMA univariado,M3,2026-05-05
2027-10-01,baseline_arima,inflacion,3.9466225963280346,porcentaje,ARIMA univariado,M3,2026-05-05
2027-10-01,baseline_arima,interbancaria,7.4334685157600475,porcentaje,ARIMA univariado,M3,2026-05-05
2027-10-01,baseline_arima,deprec_fx,3.6318634389549134,porcentaje,ARIMA univariado,M3,2026-05-05
2027-10-01,baseline_arima,embi,1.774311880125948,puntos_base,ARIMA univariado,M3,2026-05-05
2027-11-01,baseline_arima,crecimiento,5.179417018026537,porcentaje,ARIMA univariado,M3,2026-05-05
2027-11-01,baseline_arima,inflacion,4.037973499820733,porcentaje,ARIMA univariado,M3,2026-05-05
2027-11-01,baseline_arima,interbancaria,7.4314420777233785,porcentaje,ARIMA univariado,M3,2026-05-05
2027-11-01,baseline_arima,deprec_fx,3.627234151897152,porcentaje,ARIMA univariado,M3,2026-05-05
2027-11-01,baseline_arima,embi,1.7697913588175227,puntos_base,ARIMA univariado,M3,2026-05-05
2027-12-01,baseline_arima,crecimiento,5.249974928571239,porcentaje,ARIMA univariado,M3,2026-05-05
2027-12-01,baseline_arima,inflacion,4.12863038461875,porcentaje,ARIMA univariado,M3,2026-05-05
2027-12-01,baseline_arima,interbancaria,7.432560557239341,porcentaje,ARIMA univariado,M3,2026-05-05
2027-12-01,baseline_arima,deprec_fx,3.4944228428916215,porcentaje,ARIMA univariado,M3,2026-05-05
2027-12-01,baseline_arima,embi,1.7775559704961668,puntos_base,ARIMA univariado,M3,2026-05-05
2026-01-01,baseline_var,crecimiento,3.70257215104617,porcentaje,VAR multivariado,M3,2026-05-05
2026-01-01,baseline_var,inflacion,4.991605560096744,porcentaje,VAR multivariado,M3,2026-05-05
2026-01-01,baseline_var,interbancaria,7.151639030144503,porcentaje,VAR multivariado,M3,2026-05-05
2026-01-01,baseline_var,deprec_fx,3.8967949630465712,porcentaje,VAR multivariado,M3,2026-05-05
2026-01-01,baseline_var,embi,2.0449378730260928,puntos_base,VAR multivariado,M3,2026-05-05
2026-02-01,baseline_var,crecimiento,4.268322164208751,porcentaje,VAR multivariado,M3,2026-05-05
2026-02-01,baseline_var,inflacion,5.055299345115358,porcentaje,VAR multivariado,M3,2026-05-05
2026-02-01,baseline_var,interbancaria,7.381344017505948,porcentaje,VAR multivariado,M3,2026-05-05
2026-02-01,baseline_var,deprec_fx,3.8728565469462506,porcentaje,VAR multivariado,M3,2026-05-05
2026-02-01,baseline_var,embi,2.4102676615778287,puntos_base,VAR multivariado,M3,2026-05-05
2026-03-01,baseline_var,crecimiento,4.36236303429179,porcentaje,VAR multivariado,M3,2026-05-05
2026-03-01,baseline_var,inflacion,5.050265211921701,porcentaje,VAR multivariado,M3,2026-05-05
2026-03-01,baseline_var,interbancaria,7.624705463336516,porcentaje,VAR multivariado,M3,2026-05-05
2026-03-01,baseline_var,deprec_fx,3.9371067290026467,porcentaje,VAR multivariado,M3,2026-05-05
2026-03-01,baseline_var,embi,2.754729986765793,puntos_base,VAR multivariado,M3,2026-05-05
2026-04-01,baseline_var,crecimiento,4.284389159174033,porcentaje,VAR multivariado,M3,2026-05-05
2026-04-01,baseline_var,inflacion,5.0027958463584685,porcentaje,VAR multivariado,M3,2026-05-05
2026-04-01,baseline_var,interbancaria,7.837638194331351,porcentaje,VAR multivariado,M3,2026-05-05
2026-04-01,baseline_var,deprec_fx,3.9917427514345496,porcentaje,VAR multivariado,M3,2026-05-05
2026-04-01,baseline_var,embi,3.0577477091148513,puntos_base,VAR multivariado,M3,2026-05-05
2026-05-01,baseline_var,crecimiento,4.153268403135961,porcentaje,VAR multivariado,M3,2026-05-05
2026-05-01,baseline_var,inflacion,4.928597169029921,porcentaje,VAR multivariado,M3,2026-05-05
2026-05-01,baseline_var,interbancaria,8.005307701402982,porcentaje,VAR multivariado,M3,2026-05-05
