"","instrumento","fund","rate","year","month","file"
"72","Certificados de Depósito EIF1","TOTAL_SISTEMA",0.000895523380433405,2024,"Enero","tasas_2024_66.xlsx"
"73","Certificados Inversión Especial BCRD2","ATLÁNTICO",0.000758,2024,"Enero","tasas_2024_66.xlsx"
"74","Certificados Inversión Especial BCRD2","CRECER",0,2024,"Enero","tasas_2024_66.xlsx"
"75","Certificados Inversión Especial BCRD2","JMMB_BDI",0.000595,2024,"Enero","tasas_2024_66.xlsx"
"76","Certificados Inversión Especial BCRD2","POPULAR",0.00105,2024,"Enero","tasas_2024_66.xlsx"
"77","Certificados Inversión Especial BCRD2","RESERVAS",0,2024,"Enero","tasas_2024_66.xlsx"
"78","Certificados Inversión Especial BCRD2","ROMANA",0.000756,2024,"Enero","tasas_2024_66.xlsx"
"79","Certificados Inversión Especial BCRD2","SIEMBRA",0,2024,"Enero","tasas_2024_66.xlsx"
"80","Certificados Inversión Especial BCRD2","TOTAL_CCI",0.000814858395204596,2024,"Enero","tasas_2024_66.xlsx"
"81","Certificados Inversión Especial BCRD2","RESERVAS-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"82","Certificados Inversión Especial BCRD2","BANCO_CENTRAL-R3",0.001349,2024,"Enero","tasas_2024_66.xlsx"
"83","Certificados Inversión Especial BCRD2","FONDO_DE_SOLIDARIDAD_SOCIAL",0.000758,2024,"Enero","tasas_2024_66.xlsx"
"84","Certificados Inversión Especial BCRD2","TOTAL_SISTEMA",0.00123245483941983,2024,"Enero","tasas_2024_66.xlsx"
"85","Cuotas de Participación de Fondos de Inversión4","ATLÁNTICO",0.001581,2024,"Enero","tasas_2024_66.xlsx"
"86","Cuotas de Participación de Fondos de Inversión4","CRECER",0.000715,2024,"Enero","tasas_2024_66.xlsx"
"87","Cuotas de Participación de Fondos de Inversión4","JMMB_BDI",0.000768,2024,"Enero","tasas_2024_66.xlsx"
"88","Cuotas de Participación de Fondos de Inversión4","POPULAR",0.001642,2024,"Enero","tasas_2024_66.xlsx"
"89","Cuotas de Participación de Fondos de Inversión4","RESERVAS",0.000955,2024,"Enero","tasas_2024_66.xlsx"
"90","Cuotas de Participación de Fondos de Inversión4","ROMANA",0,2024,"Enero","tasas_2024_66.xlsx"
"91","Cuotas de Participación de Fondos de Inversión4","SIEMBRA",0.000944,2024,"Enero","tasas_2024_66.xlsx"
"92","Cuotas de Participación de Fondos de Inversión4","TOTAL_CCI",0.00125495542833208,2024,"Enero","tasas_2024_66.xlsx"
