"escenario","periodo","simulacion","retorno_simulado"
"Baseline VAR","2026-10",34,8.71471514979
"Baseline VAR","2026-11",34,9.25096025247741
"Baseline VAR","2026-12",34,7.71842337503968
"Baseline VAR","2026-01",35,8.5853531355942
"Baseline VAR","2026-02",35,9.26646940381553
"Baseline VAR","2026-03",35,8.58189928566882
"Baseline VAR","2026-04",35,8.90068295190612
"Baseline VAR","2026-05",35,8.66289936654096
"Baseline VAR","2026-06",35,7.75321567433294
"Baseline VAR","2026-07",35,8.51398859402819
"Baseline VAR","2026-08",35,8.47744671292987
"Baseline VAR","2026-09",35,9.27664425546423
"Baseline VAR","2026-10",35,8.22565841573175
"Baseline VAR","2026-11",35,8.911480202654
"Baseline VAR","2026-12",35,8.62284564634271
"Baseline VAR","2026-01",36,7.42230461687312
"Baseline VAR","2026-02",36,10.0173466318929
"Baseline VAR","2026-03",36,9.13656761067707
"Baseline VAR","2026-04",36,9.18084658881047
"Baseline VAR","2026-05",36,9.30243876698694
"Baseline VAR","2026-06",36,8.9736543727157
"Baseline VAR","2026-07",36,9.54702039369555
"Baseline VAR","2026-08",36,8.84996895963461
"Baseline VAR","2026-09",36,8.1257222579434
"Baseline VAR","2026-10",36,9.13946533958704
"Baseline VAR","2026-11",36,7.81727033041624
"Baseline VAR","2026-12",36,6.97606055666076
"Baseline VAR","2026-01",37,8.11282382938797
"Baseline VAR","2026-02",37,8.40293091996377
"Baseline VAR","2026-03",37,8.64658756992955
"Baseline VAR","2026-04",37,10.191480930751
"Baseline VAR","2026-05",37,10.7442605200352
"Baseline VAR","2026-06",37,10.0827012354533
"Baseline VAR","2026-07",37,7.39335098336707
"Baseline VAR","2026-08",37,8.79165779468879
"Baseline VAR","2026-09",37,8.91367432774246
"Baseline VAR","2026-10",37,8.57156469723535
"Baseline VAR","2026-11",37,8.66652140786644
"Baseline VAR","2026-12",37,8.11956321092
"Baseline VAR","2026-01",38,7.3402037451736
"Baseline VAR","2026-02",38,12.0116910281922
"Baseline VAR","2026-03",38,9.86463323490891
"Baseline VAR","2026-04",38,8.80792183417744
"Baseline VAR","2026-05",38,9.17389054794868
"Baseline VAR","2026-06",38,9.88748428360036
"Baseline VAR","2026-07",38,9.18621923172252
"Baseline VAR","2026-08",38,9.53131315601983
"Baseline VAR","2026-09",38,9.81426870600345
"Baseline VAR","2026-10",38,8.19447718011465
"Baseline VAR","2026-11",38,9.04375143767045
"Baseline VAR","2026-12",38,8.15459631161867
"Baseline VAR","2026-01",39,7.03930447196581
"Baseline VAR","2026-02",39,6.73037618372708
"Baseline VAR","2026-03",39,8.86664308602901
"Baseline VAR","2026-04",39,10.0846769402916
"Baseline VAR","2026-05",39,9.1073936346107
"Baseline VAR","2026-06",39,8.54801199979572
"Baseline VAR","2026-07",39,8.96063238260919
"Baseline VAR","2026-08",39,9.08229993566026
"Baseline VAR","2026-09",39,8.00772368096442
"Baseline VAR","2026-10",39,7.8397332351517
"Baseline VAR","2026-11",39,6.96039468351662
"Baseline VAR","2026-12",39,6.62410204541934
"Baseline VAR","2026-01",40,7.98746912318462
"Baseline VAR","2026-02",40,8.93699769466959
"Baseline VAR","2026-03",40,10.0180653849354
"Baseline VAR","2026-04",40,9.85283260568125
"Baseline VAR","2026-05",40,9.22339298669379
"Baseline VAR","2026-06",40,8.63816769362965
"Baseline VAR","2026-07",40,8.81267452728161
"Baseline VAR","2026-08",40,9.00540379513147
"Baseline VAR","2026-09",40,8.44465889636552
"Baseline VAR","2026-10",40,9.16753745807361
"Baseline VAR","2026-11",40,9.30121172287624
"Baseline VAR","2026-12",40,7.6431605981198
"Baseline VAR","2026-01",41,8.21476245627032
"Baseline VAR","2026-02",41,10.7348509467025
"Baseline VAR","2026-03",41,6.98167486049528
"Baseline VAR","2026-04",41,9.96006526378594
"Baseline VAR","2026-05",41,9.21062044420162
"Baseline VAR","2026-06",41,10.4585829405457
"Baseline VAR","2026-07",41,4.89393618879428
"Baseline VAR","2026-08",41,5.79333982116806
"Baseline VAR","2026-09",41,10.4977393642599
"Baseline VAR","2026-10",41,11.4223978575027
"Baseline VAR","2026-11",41,10.6999245983165
"Baseline VAR","2026-12",41,5.79284595510406
"Baseline VAR","2026-01",42,13.0448914965328
"Baseline VAR","2026-02",42,3.62155825748465
"Baseline VAR","2026-03",42,3.54776275010761
"Baseline VAR","2026-04",42,8.88747597214677
"Baseline VAR","2026-05",42,10.0897218692402
"Baseline VAR","2026-06",42,9.45248537004851
"Baseline VAR","2026-07",42,9.31135243220371
"Baseline VAR","2026-08",42,9.82631064742772
"Baseline VAR","2026-09",42,9.72695521800788
"Baseline VAR","2026-10",42,7.38925245718248
"Baseline VAR","2026-11",42,9.43832032258209
"Baseline VAR","2026-12",42,8.45127965686869
"Baseline VAR","2026-01",43,12.3060815812082
"Baseline VAR","2026-02",43,8.69841484928615
"Baseline VAR","2026-03",43,8.11924611269825
"Baseline VAR","2026-04",43,9.63331641783375
"Baseline VAR","2026-05",43,9.23458089184446
"Baseline VAR","2026-06",43,8.90577948503577
"Baseline VAR","2026-07",43,8.36058728135754
"Baseline VAR","2026-08",43,8.2456222834638
"Baseline VAR","2026-09",43,8.68731603908951
"Baseline VAR","2026-10",43,9.10270638300936
"Baseline VAR","2026-11",43,8.36726781205827
"Baseline VAR","2026-12",43,8.12118889399761
"Baseline VAR","2026-01",44,5.04898098649269
"Baseline VAR","2026-02",44,11.2650969334928
"Baseline VAR","2026-03",44,9.97543485981692
"Baseline VAR","2026-04",44,10.1647748243076
"Baseline VAR","2026-05",44,10.5331597128049
"Baseline VAR","2026-06",44,8.70991281437543
"Baseline VAR","2026-07",44,9.46005073201073
"Baseline VAR","2026-08",44,8.76122543033368
"Baseline VAR","2026-09",44,8.39287486281693
"Baseline VAR","2026-10",44,8.19577139849387
"Baseline VAR","2026-11",44,8.38241434184787
"Baseline VAR","2026-12",44,8.65706574655849
"Baseline VAR","2026-01",45,9.37851904470514
"Baseline VAR","2026-02",45,9.4217275165907
"Baseline VAR","2026-03",45,9.30714908728336
"Baseline VAR","2026-04",45,9.43034998797254
"Baseline VAR","2026-05",45,8.85947738212178
"Baseline VAR","2026-06",45,9.67573971624313
"Baseline VAR","2026-07",45,9.18813007286317
"Baseline VAR","2026-08",45,8.10711324574588
"Baseline VAR","2026-09",45,8.4926865495145
"Baseline VAR","2026-10",45,8.88709447037939
"Baseline VAR","2026-11",45,8.38397429235077
"Baseline VAR","2026-12",45,8.71369844399278
"Baseline VAR","2026-01",46,10.1254435890089
"Baseline VAR","2026-02",46,10.332577557735
"Baseline VAR","2026-03",46,8.56793181566894
"Baseline VAR","2026-04",46,9.09332331349402
"Baseline VAR","2026-05",46,8.7509030265319
"Baseline VAR","2026-06",46,8.34980991181366
"Baseline VAR","2026-07",46,7.59046464216308
"Baseline VAR","2026-08",46,8.99323502484213
"Baseline VAR","2026-09",46,8.99185273975791
"Baseline VAR","2026-10",46,8.97011988279472
"Baseline VAR","2026-11",46,7.84448591558006
"Baseline VAR","2026-12",46,7.64496334951034
"Baseline VAR","2026-01",47,7.57710236230316
"Baseline VAR","2026-02",47,8.16083686558984
"Baseline VAR","2026-03",47,9.40947437384253
"Baseline VAR","2026-04",47,9.39033928657775
"Baseline VAR","2026-05",47,8.58608749794082
"Baseline VAR","2026-06",47,7.24796019320077
"Baseline VAR","2026-07",47,10.308605044643
"Baseline VAR","2026-08",47,9.61257414375916
"Baseline VAR","2026-09",47,8.0789667305023
"Baseline VAR","2026-10",47,7.87914388047801
"Baseline VAR","2026-11",47,8.34622366651194
"Baseline VAR","2026-12",47,8.60077076543276
"Baseline VAR","2026-01",48,10.5925651745918
"Baseline VAR","2026-02",48,10.9044544261141
"Baseline VAR","2026-03",48,7.97106269540323
"Baseline VAR","2026-04",48,9.45271137415905
"Baseline VAR","2026-05",48,9.72967560563827
"Baseline VAR","2026-06",48,8.20770846015042
"Baseline VAR","2026-07",48,8.66144529687974
"Baseline VAR","2026-08",48,7.9231669069127
"Baseline VAR","2026-09",48,8.94485641099766
"Baseline VAR","2026-10",48,8.31830814334027
"Baseline VAR","2026-11",48,8.09881962476489
"Baseline VAR","2026-12",48,8.06014290388206
"Baseline VAR","2026-01",49,10.1417917788879
"Baseline VAR","2026-02",49,7.64518219023804
"Baseline VAR","2026-03",49,8.5513611350939
"Baseline VAR","2026-04",49,8.35412353957843
"Baseline VAR","2026-05",49,8.23161337338618
