"","date","fondo","rentabilidad"
"167",2004-10-01,"Camino1","0.26219999999999999"
"168",2004-10-01,"Caribalico2","0.24809999999999999"
"169",2004-10-01,"Crecer","0.22170000000000001"
"170",2004-10-01,"JMMB-BDI","0"
"171",2004-10-01,"León3","0.25679999999999997"
"172",2004-10-01,"Popular","0.21110000000000001"
"173",2004-10-01,"Porvenir4","0"
"174",2004-10-01,"Reservas","0.26029999999999998"
"175",2004-10-01,"Romana","0.249"
"176",2004-10-01,"Siembra","0.23039999999999999"
"177",2004-11-01,"Atlántico","0"
"178",2004-11-01,"Camino1","0.26590000000000003"
"179",2004-11-01,"Caribalico2","0.25319999999999998"
"180",2004-11-01,"Crecer","0.2142"
"181",2004-11-01,"JMMB-BDI","0"
"182",2004-11-01,"León3","0.26140000000000002"
"183",2004-11-01,"Popular","0.2036"
"184",2004-11-01,"Porvenir4","0"
"185",2004-11-01,"Reservas","0.26519999999999999"
"186",2004-11-01,"Romana","0.25330000000000003"
"187",2004-11-01,"Siembra","0.22159999999999999"
"188",2004-12-01,"Atlántico","0"
"189",2004-12-01,"Camino1","0.26621535901815202"
"190",2004-12-01,"Caribalico2","0.25397130995666001"
"191",2004-12-01,"Crecer","0.22093490586317299"
"192",2004-12-01,"JMMB-BDI","0"
"193",2004-12-01,"León3","0.262396104186152"
"194",2004-12-01,"Popular","0.219090579050879"
"195",2004-12-01,"Porvenir4","0"
"196",2004-12-01,"Reservas","0.26633399667375501"
"197",2004-12-01,"Romana","0.25398737189781601"
"198",2004-12-01,"Siembra","0.22283276392020801"
"199",2005-01-01,"Atlántico","0"
"200",2005-01-01,"Camino1","0"
"201",2005-01-01,"Caribalico2","0.25690000000000002"
"202",2005-01-01,"Crecer","0.22550000000000001"
"203",2005-01-01,"JMMB-BDI","0"
"204",2005-01-01,"León3","0.2656"
"205",2005-01-01,"Popular","0.22539999999999999"
"206",2005-01-01,"Porvenir4","0"
"207",2005-01-01,"Reservas","0.26989999999999997"
"208",2005-01-01,"Romana","0.25659999999999999"
"209",2005-01-01,"Siembra","0.2268"
"210",2005-02-01,"Atlántico","0"
"211",2005-02-01,"Camino1","0"
"212",2005-02-01,"Caribalico2","0.25956978195582803"
"213",2005-02-01,"Crecer","0.21710454492203568"
"214",2005-02-01,"JMMB-BDI","0"
"215",2005-02-01,"León3","0.26753977440161325"
"216",2005-02-01,"Popular","0.22673935319639368"
"217",2005-02-01,"Porvenir4","0"
"218",2005-02-01,"Reservas","0.27269402651581931"
"219",2005-02-01,"Romana","0.25891571896309795"
"220",2005-02-01,"Siembra","0.22860938583891374"
"221",2005-03-01,"Atlántico","0"
"222",2005-03-01,"Camino1","0"
"223",2005-03-01,"Caribalico2","0.25731270089256175"
"224",2005-03-01,"Crecer","0.21787009517677003"
"225",2005-03-01,"JMMB-BDI","0"
"226",2005-03-01,"León3","0.26423677553971547"
"227",2005-03-01,"Popular","0.22348480554447381"
"228",2005-03-01,"Porvenir4","0"
"229",2005-03-01,"Reservas","0.27022112885944449"
"230",2005-03-01,"Romana","0.25496326412876869"
"231",2005-03-01,"Siembra","0.22547487309600522"
"232",2005-04-01,"Atlántico","0"
"233",2005-04-01,"Camino1","0"
"234",2005-04-01,"Caribalico2","0.25242024457660728"
"235",2005-04-01,"Crecer","0.21288082252681798"
"236",2005-04-01,"JMMB-BDI","0"
"237",2005-04-01,"León3","0.25722327383318655"
"238",2005-04-01,"Popular","0.21484561116641832"
"239",2005-04-01,"Porvenir4","0"
"240",2005-04-01,"Reservas","0.26458486267885473"
"241",2005-04-01,"Romana","0.24643621714534825"
"242",2005-04-01,"Siembra","0.21862256256895862"
"243",2005-05-01,"Atlántico","0"
"244",2005-05-01,"Camino1","0"
"245",2005-05-01,"Caribalico2","0.24395757765465054"
"246",2005-05-01,"Crecer","0.20337596821282378"
"247",2005-05-01,"JMMB-BDI","0"
"248",2005-05-01,"León3","0.24643968509975078"
"249",2005-05-01,"Popular","0.20094462994068985"
"250",2005-05-01,"Porvenir4","0"
"251",2005-05-01,"Reservas","0.2544886093194727"
"252",2005-05-01,"Romana","0.23269088041851282"
"253",2005-05-01,"Siembra","0.20587090468085534"
"254",2005-06-01,"Atlántico","0"
"255",2005-06-01,"Camino1","0"
"256",2005-06-01,"Caribalico2","0.22161304320050726"
"257",2005-06-01,"Crecer","0.19627107395253707"
"258",2005-06-01,"JMMB-BDI","0"
"259",2005-06-01,"León3","0.22037264613563257"
